Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA,Province
01-01-2005,100,100,100,100,100,100,236900,255300,201000,299000,197900,174600,AGGREGATE
01-02-2005,100.3,100.2,100.3,100.2,100.3,100.6,237600,255900,201600,299600,198500,175700,AGGREGATE
01-03-2005,100.7,100.6,100.7,100.6,100.6,101,238500,256900,202400,300800,199100,176400,AGGREGATE
01-04-2005,101,101,101.1,100.8,100.8,101.5,239300,257800,203300,301400,199500,177200,AGGREGATE
01-05-2005,101.2,101.2,101.4,101,101,101.9,239800,258300,203800,302000,199800,178000,AGGREGATE
01-06-2005,101.8,101.7,101.9,101.6,101.4,102.6,241100,259700,204800,303800,200700,179200,AGGREGATE
01-07-2005,102.6,102.5,102.8,102.3,102.5,103.3,243000,261600,206700,305800,202800,180400,AGGREGATE
01-08-2005,103.5,103.4,103.9,103.1,103.3,103.8,245100,264100,208900,308400,204400,181300,AGGREGATE
01-09-2005,104.4,104.3,105,103.8,104.3,106,247300,266200,211000,310500,206500,185000,AGGREGATE
01-10-2005,105.5,105.5,106.2,105.1,105.4,106.5,250000,269400,213500,314200,208600,185900,AGGREGATE
01-11-2005,106.6,106.5,107.5,106,106.6,107.6,252500,271900,216000,316800,211000,187900,AGGREGATE
01-12-2005,107.6,107.6,108.6,107,107.6,108.8,255000,274700,218300,320000,212900,190000,AGGREGATE
01-01-2006,108.9,108.8,109.9,108.1,109.1,110.1,258000,277700,220800,323300,215900,192200,AGGREGATE
01-02-2006,109.9,109.7,111.1,109,110.5,111.3,260400,280100,223300,325800,218700,194400,AGGREGATE
01-03-2006,111,110.8,112.3,110.1,111.5,112.4,263000,283000,225800,329100,220700,196200,AGGREGATE
01-04-2006,112.2,112.1,113.7,111.1,113.1,113.6,265900,286100,228500,332300,223800,198400,AGGREGATE
01-05-2006,113.5,113.2,115.2,112.1,114.7,115.1,268900,289100,231600,335300,226900,201000,AGGREGATE
01-06-2006,114.7,114.3,116.6,113.1,116.4,116.5,271700,291900,234300,338100,230400,203400,AGGREGATE
01-07-2006,115.7,115.4,117.9,113.9,117.8,117.9,274200,294500,237000,340700,233200,205900,AGGREGATE
01-08-2006,116.8,116.3,119.1,114.8,119.5,119.4,276800,297000,239400,343300,236400,208400,AGGREGATE
01-09-2006,118,117.4,120.4,115.8,120.7,121.1,279600,299700,242000,346200,238900,211500,AGGREGATE
01-10-2006,118.6,117.9,121.2,116.1,122,121.7,280900,301000,243600,347100,241400,212500,AGGREGATE
01-11-2006,119.4,118.8,122.3,116.8,122.8,122.4,282900,303200,245900,349300,243100,213700,AGGREGATE
01-12-2006,120.3,119.6,123.7,117.4,124.2,123.4,285100,305400,248600,351100,245700,215400,AGGREGATE
01-01-2007,121.3,120.5,124.8,118.2,125,124.6,287300,307700,250900,353400,247400,217600,AGGREGATE
01-02-2007,122.6,122,126.3,119.6,126.2,125.7,290500,311500,253800,357700,249700,219400,AGGREGATE
01-03-2007,123.8,123,127.5,120.5,127.7,127.1,293200,314100,256300,360200,252700,222000,AGGREGATE
01-04-2007,124.9,124.1,128.6,121.6,128.5,128.4,295800,316900,258500,363500,254300,224200,AGGREGATE
01-05-2007,126.1,125.4,130.2,122.7,129.8,129.7,298800,320100,261800,366800,256800,226500,AGGREGATE
01-06-2007,127.2,126.5,131.6,123.6,130.9,131,301400,322900,264600,369700,259000,228800,AGGREGATE
01-07-2007,128.3,127.5,132.8,124.6,131.7,132.2,304000,325600,266900,372700,260600,230800,AGGREGATE
01-08-2007,129.1,128.3,133.6,125.4,132.9,133.4,305900,327500,268600,374800,263000,232900,AGGREGATE
01-09-2007,130,129.1,134.6,126.2,133.3,134.3,307900,329700,270600,377200,263800,234500,AGGREGATE
01-10-2007,130.8,130,135.4,127,134,135.2,309800,331800,272200,379600,265100,236100,AGGREGATE
01-11-2007,131.4,130.6,136.2,127.5,135,136.6,311400,333300,273700,381200,267100,238500,AGGREGATE
01-12-2007,132.3,131.4,136.7,128.4,135.8,137.4,313400,335400,274700,384000,268800,239900,AGGREGATE
01-01-2008,133,132,137.3,129.1,136.7,138.3,315000,337100,275900,385900,270600,241500,AGGREGATE
01-02-2008,133.2,132.3,137.7,129.3,136.9,138.6,315600,337700,276700,386500,271000,242000,AGGREGATE
01-03-2008,133.2,132.2,137.6,129.2,137.1,138.8,315600,337600,276500,386300,271400,242300,AGGREGATE
01-04-2008,132.8,131.8,137.1,128.7,137.3,138.5,314600,336500,275500,384900,271800,241800,AGGREGATE
01-05-2008,132.2,131.1,136.3,128.1,137.1,137.9,313100,334700,274000,383000,271300,240800,AGGREGATE
01-06-2008,131.5,130.4,135.6,127.4,136.6,136.9,311500,333000,272600,381000,270300,239100,AGGREGATE
01-07-2008,130.6,129.5,134.5,126.5,136,136.3,309300,330500,270300,378300,269200,237900,AGGREGATE
01-08-2008,129.8,128.8,133.8,125.8,135.2,135.4,307500,328700,269000,376000,267600,236400,AGGREGATE
01-09-2008,129.1,128,133.1,125,134.5,134.4,305800,326700,267600,373800,266200,234700,AGGREGATE
01-10-2008,127.4,126.3,131.3,123.3,133.5,132.8,301800,322400,263900,368800,264200,231900,AGGREGATE
01-11-2008,126.1,125.1,129.7,122.4,132.2,131,298800,319300,260600,366000,261700,228800,AGGREGATE
01-12-2008,124.6,123.5,128.4,120.7,129.5,129.9,295100,315400,258000,361000,256300,226800,AGGREGATE
01-01-2009,123.4,122.4,127.3,119.6,129.2,127.5,292300,312600,255800,357600,255600,222700,AGGREGATE
01-02-2009,122.2,121.2,125.9,118.4,128.2,126.7,289600,309300,253100,353900,253800,221200,AGGREGATE
01-03-2009,121.4,120.4,124.4,117.9,127.3,126.4,287700,307300,250100,352500,252000,220700,AGGREGATE
01-04-2009,122,121,125.1,118.5,127,127,289000,309000,251500,354200,251300,221700,AGGREGATE
01-05-2009,123,122.1,125.8,119.7,127.3,128.1,291500,311700,252900,357900,252000,223700,AGGREGATE
01-06-2009,124.5,123.7,127,121.4,128.2,129.8,295000,315700,255300,362900,253700,226600,AGGREGATE
01-07-2009,126.3,125.5,128.6,123.2,130,131.7,299200,320300,258400,368400,257200,230000,AGGREGATE
01-08-2009,128,127.2,130,125.2,131.3,133.4,303300,324800,261300,374200,259900,233000,AGGREGATE
01-09-2009,129.9,129.1,131.4,127.3,133.1,135.4,307800,329700,264100,380500,263400,236400,AGGREGATE
01-10-2009,131.9,131.2,133,129.4,134.7,137.4,312400,334900,267400,387000,266500,239900,AGGREGATE
01-11-2009,133.6,132.8,134.4,131.2,136.4,139.4,316400,339100,270200,392300,270000,243400,AGGREGATE
01-12-2009,135.3,134.7,136.1,133.1,138.2,141,320600,344000,273600,398000,273500,246200,AGGREGATE
01-01-2010,136.1,135.2,136.4,133.7,140.1,143,322400,345100,274200,399900,277200,249700,AGGREGATE
01-02-2010,137,136.2,137,134.9,140.5,143.4,324600,347800,275400,403400,278100,250300,AGGREGATE
